Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,TinyURL,iFrame,Mouse_Over,Right_Click,Web_Forwards,Labels
1,0,1,1,1,0,1,0,1,0,0,1,0
1,0,1,1,1,0,1,0,1,0,0,1,0
1,0,1,1,1,0,1,0,0,0,0,1,0
1,0,1,3,0,0,1,0,0,0,0,0,0
1,0,1,3,1,0,1,0,0,0,0,0,0
1,0,1,4,0,0,1,0,1,0,0,1,0
1,0,1,2,0,0,1,0,1,0,0,1,0
1,0,1,6,0,0,1,0,0,0,0,0,0
1,0,1,2,1,0,1,0,0,0,0,0,0
1,0,1,5,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,1
1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,1,0,0,1,0,0,0,0,1,1
1,0,0,1,0,0,1,0,1,0,0,0,1
1,0,1,2,0,0,1,0,1,0,0,1,1
1,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,1
